Sample	aligned_reads	ambig_reads	discarded_reads	meth_chg	meth_chh	meth_cpg	no_alignments	percent_aligned	percent_chg_meth	percent_chh_meth	percent_cpg_meth	strand_ctob	strand_ctot	strand_ob	strand_ot	total_c	total_reads	unmeth_chg	unmeth_chh	unmeth_cpg
10_32_S32_trimmed_1P	235723.0	92430.0	0.0	14108.0	42455.0	659643.0	246193.0	41.0419851448	1.0	1.1	74.2	79721.0	78610.0	38558.0	38834.0	6266474.0	574346.0	1343761.0	3976580.0	229927.0
11_37_S37_trimmed_1P	202958.0	77365.0	0.0	9553.0	28059.0	532629.0	415239.0	29.1789948272	0.8	0.8	72.3	65457.0	64445.0	36465.0	36591.0	5346507.0	695562.0	1138881.0	3433675.0	203710.0
12_38_S38_trimmed_1P	245709.0	96903.0	0.0	11866.0	36474.0	657723.0	522657.0	28.396833817	0.8	0.9	72.1	79935.0	78963.0	43467.0	43344.0	6527745.0	865269.0	1412629.0	4155078.0	253975.0
13_33_S33_trimmed_1P	280745.0	108532.0	0.0	13572.0	40245.0	754070.0	256191.0	43.4947975732	0.8	0.8	72.4	91237.0	90401.0	49594.0	49513.0	7413879.0	645468.0	1604741.0	4714354.0	286897.0
14_34_S34_trimmed_1P	318166.0	121794.0	0.0	16521.0	47437.0	878385.0	251666.0	46.0026083461	0.9	0.9	73.1	100934.0	99318.0	59025.0	58889.0	8447081.0	691626.0	1844108.0	5337595.0	323035.0
15_39_S39_trimmed_1P	208212.0	82027.0	0.0	10564.0	31173.0	581343.0	381086.0	31.0150821137	0.9	0.9	72.5	67522.0	67305.0	37071.0	36314.0	5522036.0	671325.0	1228038.0	3449893.0	221025.0
16_40_S40_trimmed_1P	253130.0	96056.0	0.0	12202.0	35986.0	668757.0	422619.0	32.7971443564	0.8	0.8	71.3	82234.0	81409.0	44763.0	44724.0	6687992.0	771805.0	1473949.0	4227318.0	269780.0
17_9_S9_trimmed_1P	82644.0	34522.0	0.0	1443.0	24186.0	24799.0	286695.0	20.4634762951	0.4	1.8	9.2	29918.0	29751.0	11461.0	11514.0	1965980.0	403861.0	370482.0	1301274.0	243796.0
18_10_S10_trimmed_1P	201593.0	78467.0	0.0	2069.0	18794.0	55396.0	245361.0	38.3678992655	0.2	0.6	8.6	68426.0	68919.0	31961.0	32287.0	4764256.0	525421.0	891085.0	3208707.0	588205.0
19_7_S7_trimmed_1P	124444.0	50191.0	1.0	1313.0	12806.0	35350.0	197032.0	33.4826605537	0.2	0.6	8.6	42134.0	42135.0	20062.0	20112.0	2969465.0	371667.0	561557.0	1984279.0	374160.0
1_25_S25_trimmed_1P	77996.0	47638.0	0.0	2899.0	34687.0	24469.0	362503.0	15.9783011736	0.7	2.7	8.1	24735.0	25268.0	13972.0	14021.0	1965868.0	488137.0	385549.0	1238885.0	279379.0
20_8_S8_trimmed_1P	144003.0	55987.0	0.0	13042.0	39537.0	390832.0	114932.0	45.7265608627	1.6	1.6	73.3	48454.0	48429.0	23528.0	23592.0	3778887.0	314922.0	800547.0	2392317.0	142612.0
2_26_S26_trimmed_1P	20601.0	9364.0	0.0	876.0	13788.0	6262.0	138989.0	12.1932597038	0.9	4.0	9.0	6977.0	7009.0	3235.0	3380.0	504501.0	168954.0	93790.0	326703.0	63082.0
3_27_S27_trimmed_1P	5445.0	3585.0	0.0	646.0	18166.0	1791.0	222622.0	2.3505085214	3.1	17.1	12.0	1977.0	1890.0	812.0	766.0	142039.0	231652.0	20262.0	88044.0	13130.0
4_28_S28_trimmed_1P	33526.0	13397.0	0.0	966.0	14575.0	9415.0	232142.0	12.0136885672	0.7	2.6	9.2	12050.0	12004.0	4728.0	4744.0	808182.0	279065.0	143833.0	546630.0	92763.0
5_35_S35_trimmed_1P	4180.0	1564.0	0.0	86.0	460.0	1347.0	16118.0	19.1199341323	0.5	0.7	10.4	1419.0	1502.0	624.0	635.0	100591.0	21862.0	18321.0	68826.0	11551.0
6_36_S36_trimmed_1P	6316.0	2473.0	0.0	123.0	837.0	1974.0	22563.0	20.1454452666	0.4	0.8	9.9	2181.0	2238.0	965.0	932.0	152777.0	31352.0	27990.0	103904.0	17949.0
7_29_S29_trimmed_1P	214100.0	138045.0	1.0	2088.0	11682.0	45743.0	260849.0	34.9269324006	0.2	0.3	5.0	63161.0	63871.0	43204.0	43863.0	5565726.0	612994.0	1066777.0	3568431.0	871005.0
8_30_S30_trimmed_1P	218551.0	138419.0	0.0	3454.0	18845.0	54952.0	308263.0	32.8533010239	0.3	0.5	5.7	65438.0	65620.0	43463.0	44030.0	5670402.0	665233.0	1122382.0	3566306.0	904463.0
9_31_S31_trimmed_1P	262119.0	101626.0	0.0	16480.0	47484.0	750142.0	231701.0	44.0206164791	1.1	1.1	74.3	84082.0	83983.0	47027.0	47027.0	7060184.0	595446.0	1514746.0	4472468.0	258864.0
